Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
weekend trips new york,92,92,30,16,0.93,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.51,258000000,"[100,100,9,27,18,9,9,27,9,0,9,0]",2026-02-19,"Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
best nyc weekend getaways,55,55,110,20,0.88,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.36,12600000,"[2,1,2,0,2,1,3,100,2,2,0,29]",2026-03-11,"Video, Image, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
inexpensive weekend getaways from nyc,68,68,260,22,0.84,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.73,1500000,"[54,23,100,100,36,29,19,29,19,29,1,1]",2026-03-19,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
new zealand solo travel,62,62,260,12,2.45,https://epictravelsblog.com/why-solo-travel-in-new-zealand/,0,0,0.00,0.54,45500000,"[35,35,54,35,35,35,28,28,35,54,100,44]",2026-03-20,"Sitelinks, Video, Image, Ads bottom, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
getaway new york,46,46,260,36,1.13,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.62,0,"[30,7,4,4,5,3,16,8,8,8,8,24]",2026-03-14,"Video, Image, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
budget friendly antarctica cruises,64,64,590,14,3.11,https://epictravelsblog.com/how-to-find-the-cheapest-antarctica-cruise/,0,0,0.00,0.54,2550000,"[0,0,0,0,11,13,100,100,13,3,0,0]",2026-03-24,"Sitelinks, Video, Image, Ads bottom, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
budget friendly antarctica cruises,70,70,590,14,3.11,https://epictravelsblog.com/how-to-find-the-cheapest-antarctica-cruise/,0,0,0.00,0.54,2550000,"[0,0,0,0,11,13,100,100,13,3,0,0]",2026-03-24,"Sitelinks, Video, Image, Ads bottom, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
getaway to new york,90,90,30,35,0.86,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.87,0,"[0,27,100,100,0,0,45,0,0,0,0,0]",2026-03-10,"Sitelinks, Video, Image, Related searches",informational,Organic
getaway to new york,91,91,30,35,0.86,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.87,0,"[0,27,100,100,0,0,45,0,0,0,0,0]",2026-03-10,"Sitelinks, Video, Image, Related searches",informational,Organic
antarctica trip cheap,58,58,40,17,2.10,https://epictravelsblog.com/how-to-find-the-cheapest-antarctica-cruise/,0,0,0.00,0.62,149,"[9,18,9,63,63,9,18,45,9,45,63,100]",2026-03-12,"Sitelinks, Video, Image, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
weekend trip new york city,47,47,70,17,0.67,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.59,2820000000,"[7,4,0,5,0,23,1,7,15,4,5,5]",2026-03-15,"Video, Image, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
epic travels,13,13,110,28,3.13,https://epictravelsblog.com/,0,0,0.00,0.13,205000000,"[4,8,54,35,8,22,22,14,54,10,10,10]",2026-03-20,"Video, Image, Related searches",informational,Organic
weekend trips from new york,97,97,170,13,0.90,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.69,0,"[3,1,1,4,2,1,4,4,1,5,0,0]",2026-03-11,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
getaways in ny,50,50,30,31,1.13,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.62,0,"[1,1,11,11,1,1,1,0,0,0,0,0]",2026-03-10,"Video, Image, Video Carousel, Related searches, Short videos, AI overview",informational,Organic
is antarctica dangerous,36,36,70,20,0.00,https://epictravelsblog.com/solo-antarctica-safety-guidelines-avoid-costly-mistakes/,0,0,0.00,0.33,69,"[35,28,35,14,78,14,78,78,28,78,78,100]",2026-04-04,"Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
weekend getaways from new york,70,70,110,12,0.93,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.51,32100000,"[13,16,0,4,4,3,3,20,2,4,8,8]",2026-03-04,"Sitelinks, Video, Image, People also ask, Related searches, Short videos, AI overview",informational,Organic
weekend getaways new york,78,78,590,23,0.90,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.69,31300000,"[2,7,7,2,2,13,4,16,3,2,2,2]",2026-03-13,"Sitelinks, Video, Image, Related searches, AI overview","commercial, informational",Organic
cheap antarctica cruise,77,77,90,16,2.50,https://epictravelsblog.com/how-to-find-the-cheapest-antarctica-cruise/,0,0,0.00,0.27,145,"[35,8,10,18,14,14,6,43,8,8,8,22]",2026-03-20,"Sitelinks, Video, Image, Related searches, Discussions and forums",commercial,Organic
nyc weekend getaways,53,53,720,17,0.90,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.69,0,"[5,3,4,13,13,8,28,13,15,8,3,1]",2026-03-11,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
getaways in new york,88,88,110,19,1.04,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.54,31200000,"[6,100,18,43,10,14,14,18,6,29,22,18]",2026-03-05,"Video, Image, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
weekend trips out of nyc,92,92,590,22,0.90,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.69,142,"[0,0,0,0,0,100,0,0,0,0,0,0]",2026-03-13,"Sitelinks, Video, Image, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
petra 2 day tour,65,65,30,12,1.71,https://epictravelsblog.com/jordan-petra-tour-2-days-itinerary/,0,0,0.00,0.78,105000000,"[50,50,75,50,50,25,75,100,75,75,75,75]",2026-03-22,"Sitelinks, Video, Image, Ads bottom, People also ask, Related searches, See results about, AI overview",informational,Organic
long weekend getaways from nyc,89,89,140,17,0.67,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.27,33500000,"[33,66,52,52,80,100,66,66,80,52,66,52]",2026-03-03,"Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
best place to visit in south africa,47,47,110,40,1.56,https://epictravelsblog.com/best-places-to-visit-in-south-africa-you-cant-miss/,0,0,0.00,0.39,738000000,"[10,18,18,2,22,29,22,22,35,22,35,43]",2026-03-20,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums",commercial,Organic
worst time to visit niagara falls,65,65,320,16,0.00,https://epictravelsblog.com/3-worst-niagara-falls-excursion-fails/,0,0,0.00,0,1640000,"[35,66,54,54,54,66,54,54,100,100,18,11]",2026-02-28,"Sitelinks, Video, Image, People also ask, Related searches, AI overview","commercial, informational",Organic
weekend trip to new york city,97,97,90,21,0.67,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.59,157,"[41,29,41,41,29,41,82,29,64,64,82,64]",2026-03-20,"Video, Image, Related searches, AI overview",informational,Organic
antarctica cruise cheap,56,56,1000,20,2.50,https://epictravelsblog.com/how-to-find-the-cheapest-antarctica-cruise/,0,0,0.00,0.27,147,"[31,37,68,46,52,37,46,46,100,25,37,52]",2026-03-11,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
antarctica cruise cheap,75,75,1000,20,2.50,https://epictravelsblog.com/how-to-find-the-cheapest-antarctica-cruise/,0,0,0.00,0.27,147,"[31,37,68,46,52,37,46,46,100,25,37,52]",2026-03-11,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
best places to visit in south africa,46,46,480,25,1.66,https://epictravelsblog.com/best-places-to-visit-in-south-africa-you-cant-miss/,0,0,0.00,0.39,0,"[66,81,44,54,54,54,54,54,66,81,81,100]",2026-03-06,"Sitelinks, Video, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
traveling alone in new zealand,83,83,50,20,0.00,https://epictravelsblog.com/why-solo-travel-in-new-zealand/,0,0,0.00,0.62,0,"[9,0,4,0,66,9,4,100,42,42,4,42]",2026-03-12,"Sitelinks, Video, Image, Related searches, Short videos, AI overview",informational,Organic
nice places to visit in south africa,93,93,140,22,1.56,https://epictravelsblog.com/best-places-to-visit-in-south-africa-you-cant-miss/,0,0,0.00,0.39,803000000,"[65,43,15,34,100,53,21,43,34,43,21,43]",2026-03-22,"Sitelinks, Video, Image, Ads bottom, Video Carousel, Related searches, Short videos, AI overview",informational,Organic
tourist points in pakistan,51,51,90,37,0.00,https://epictravelsblog.com/8-best-tourist-destinations-in-pakistan/,0,0,0.00,0,179,"[0,0,1,3,3,5,2,3,3,5,5,2]",2026-03-10,"Video, Image, Video Carousel, Related searches, Short videos, AI overview",informational,Organic
tourist points in pakistan,94,94,90,37,0.00,https://epictravelsblog.com/8-best-tourist-destinations-in-pakistan/,0,0,0.00,0,179,"[0,0,1,3,3,5,2,3,3,5,5,2]",2026-03-10,"Video, Image, Video Carousel, Related searches, Short videos, AI overview",informational,Organic
best weekend trips from new york,60,60,1000,25,0.88,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.36,132000000,"[34,100,7,1,44,5,7,3,2,100,100,7]",2026-03-30,"Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic
nyc getaway,75,75,480,28,1.04,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.54,42800000,"[10,13,55,36,20,30,24,81,10,30,20,16]",2026-03-02,"Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
nyc getaway,83,83,480,28,1.04,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.54,42800000,"[10,13,55,36,20,30,24,81,10,30,20,16]",2026-03-02,"Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
weekend getaways near new york ny,81,81,30,30,0.78,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.53,131,"[9,52,9,9,9,9,9,9,9,9,9,9]",2026-03-23,"Sitelinks, Video, Related searches, Short videos, AI overview",informational,Organic
cheapest way to visit antarctica,94,94,140,6,1.64,https://epictravelsblog.com/how-to-find-the-cheapest-antarctica-cruise/,0,0,0.00,0.69,0,"[65,53,53,53,53,42,53,65,53,42,65,100]",2026-03-15,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
weekend trip to nyc,84,84,70,25,0.60,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.65,146,"[11,11,7,7,7,5,7,9,5,5,11,7]",2026-03-05,"Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
affordable antarctica cruise,79,79,110,18,2.45,https://epictravelsblog.com/how-to-find-the-cheapest-antarctica-cruise/,0,0,0.00,0.4,1820000,"[11,100,8,8,8,5,6,15,18,23,5,1]",2026-03-02,"Video, Image, Ads bottom, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
best niagara falls tours,75,75,210,33,2.13,https://epictravelsblog.com/niagara-falls-tours-best-unforgettable-trips/,0,0,0.00,0.89,12200000,"[35,28,43,43,82,82,100,82,66,35,17,17]",2026-03-13,"Local pack, Sitelinks, Video, Image, Video Carousel, Related searches, Discussions and forums",commercial,Organic
cheap weekend getaways in ny,62,62,110,28,0.75,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.62,124,"[17,21,1,7,9,9,21,11,4,14,17,5]",2026-03-05,"Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
cheap weekend getaways in ny,75,75,110,28,0.75,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.62,124,"[17,21,1,7,9,9,21,11,4,14,17,5]",2026-03-05,"Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
best weekend getaways from nyc,47,47,1000,19,0.88,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.36,39300000,"[84,52,84,37,52,84,84,68,52,52,31,31]",2026-03-24,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",commercial,Organic
weekend getaways in nys,54,54,90,25,0.97,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.87,387000,"[19,19,19,42,26,53,34,65,34,42,26,26]",2026-03-15,"Sitelinks, Video, Image, Hotels Pack, Related searches, Discussions and forums, AI overview",informational,Organic
best tour niagara falls,46,46,40,33,2.13,https://epictravelsblog.com/niagara-falls-tours-best-unforgettable-trips/,0,0,0.00,0.89,31200000,"[27,18,18,18,36,36,81,81,81,0,9,0]",2026-03-09,"Local pack, Sitelinks, Video, Image, Video Carousel, Related searches, Discussions and forums, AI overview",commercial,Organic
weekend getaways in nyc,69,69,40,23,0.93,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.51,18300000,"[0,0,0,0,3,1,1,1,0,0,1,1]",2026-03-06,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
best places to visit in sa,51,51,210,31,1.56,https://epictravelsblog.com/best-places-to-visit-in-south-africa-you-cant-miss/,0,0,0.00,0.39,0,"[54,35,10,22,66,66,29,22,54,35,54,81]",2026-03-14,"Sitelinks, Video, Related searches, Short videos, AI overview",commercial,Organic
weekend getaway nyc,71,71,260,11,0.90,https://epictravelsblog.com/10-best-new-york-weekend-getaway-ideas/,0,0,0.00,0.69,42100000,"[34,7,7,3,5,16,13,2,2,1,2,1]",2026-03-29,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
